eleve;el*165;Karen;Jackson;2037-08-05;Rue Jules Destrée;124;6183;Courcelles;Trazegnies;S-OWD-497
eleve;el*8242;Brittany;Stokes;2035-07-22;Avenue de Waterloo;48;6000;Charleroi;Charleroi;S-MHB-422
eleve;el*863;Jesse;Bridges;2040-10-03;Rue Hanoteau;64;6060;Charleroi;Gilly;S-AVF-127
eleve;el*7587;Paige;Morgan;2042-05-07;Rue Albert Lemaitre;154;6180;Courcelles;Courcelles;S-VDQ-023
Prof;pr294;Sheila;Edwards;2080-02-05;Rue Auguste Ligot;1;6041;Charleroi;Gosselies;2-PIX-099
eleve;el*4363;Douglas;Chen;2042-12-03;Rue Saint-Jacques;44;6032;Charleroi;Mont-sur-Marchienne;S-GWG-818
eleve;el*5627;James;Davis;2035-04-19;Rue du Douaire;30;6150;Anderlues;Anderlues;S-REX-231
eleve;el*3024;Olivia;Matthews;2037-02-25;Rue des Guides;55 / 000D;6061;Charleroi;Montignies-sur-Sambre;S-KWL-368
eleve;el*1549;Patricia;Zhang;2037-04-30;Rue des Marais;6;6200;Châtelet;Bouffioulx;S-JLT-913
eleve;el*4882;William;Wagner;2037-09-12;Rue des Carrières (CT);197;6010;Charleroi;Couillet;S-WYH-133
eleve;el*2058;Jesse;Thomas;2036-03-07;Rue Delvaux Auguste;31;6040;Charleroi;Jumet;S-TNX-480
eleve;el*5112;Amber;Davis;2043-01-30;Rue René Delhaize;78;6043;Charleroi;Ransart;S-LUL-665
eleve;el*1393;Cory;Jones;2038-03-10;Rue Chet;117 / 031;6061;Charleroi;Montignies-sur-Sambre;S-PCO-288
eleve;el*728;Jacob;Bradley;2042-01-23;Rue Edmond Yernaux;2 / 013;6061;Charleroi;Montignies-sur-Sambre;S-HEY-914
eleve;el*1211;Daniel;Anderson;2036-04-18;Route de Châtelet;171;6010;Charleroi;Couillet;S-ZJW-124
eleve;el*5572;Megan;Krueger;2039-10-13;Rue des Roses;2;6183;Courcelles;Trazegnies;S-SDB-905
eleve;el*2469;Jasmine;Reynolds;2040-01-06;Allée des Cytises;3;6031;Charleroi;Monceau-sur-Sambre;S-OKI-423
eleve;el*6174;Paula;Henderson;2042-03-08;Chemin Noir;3;6150;Anderlues;Anderlues;S-ELD-751
eleve;el*2529;Carrie;Petersen;2036-01-15;Place Louis de Brouckère;7;6200;Châtelet;Châtelineau;S-FLI-044
eleve;el*4938;Melissa;Gonzales;2039-12-02;Rue de la Station;8;6220;Fleurus;Fleurus;S-GXK-389
eleve;el*645;Sara;Thomas;2036-02-29;Rue du Blé;10 / 0001;6031;Charleroi;Monceau-sur-Sambre;S-AEO-144
eleve;el*3932;Charles;Boyle;2038-05-01;Rue Maréchal Foch;43;6200;Châtelet;Châtelineau;S-GNG-271
Prof;pr368;Mary;Sexton;2070-06-28;Rue Vital Françoisse;141;6001;Charleroi;Marcinelle;2-LXR-477
eleve;el*6159;Dennis;Zhang;2035-11-05;Fonds de Corbeau;32 / 32/A;6180;Courcelles;Courcelles;S-YSP-150
Prof;pr101;Amy;Santos;2071-05-08;Chaussée de Courcelles;65 / 004;6041;Charleroi;Gosselies;2-FDZ-854
eleve;el*510;Austin;Mitchell;2040-07-09;Rue de Wanfercée-Baulet;45;6224;Fleurus;Wanfercée-Baulet;S-QPD-374
eleve;el*2962;Carl;Olson;2037-02-07;Rue Jean Joseph Piret;59;6280;Gerpinnes;Joncret;S-AAY-157
eleve;el*5126;Jack;Mendoza;2039-01-02;Rue Emile Vandervelde (CH);9;6000;Charleroi;Charleroi;S-SNW-517
eleve;el*879;Joseph;Smith;2036-09-10;Rue du Longpré;26;6221;Fleurus;Saint-Amand;S-JWX-324
eleve;el*7666;Daniel;Stevenson;2043-01-11;Rue du Notaire Lemaître;28;6200;Châtelet;Châtelineau;S-QRM-743
Prof;pr302;Daniel;Conrad;2077-06-29;Rue Paul Janson;96;6182;Courcelles;Souvret;2-BMB-841
eleve;el*5999;Eric;Allison;2041-06-16;Rue de la Solidarité;49;6061;Charleroi;Montignies-sur-Sambre;S-IPS-699
eleve;el*1842;Carrie;Hull;2042-12-15;Rue du Ry de Saint-Ry;4;6200;Châtelet;Bouffioulx;S-XRJ-170
eleve;el*2623;David;Hale;2036-08-16;Rue Lambert Louis;39;6040;Charleroi;Jumet;S-ESH-613
eleve;el*7835;Kelly;Fisher;2041-09-17;Rue Emile Vandervelde (CH);48;6000;Charleroi;Charleroi;S-PSG-820
eleve;el*3888;Ashley;Phillips;2042-01-09;Rue René De Cooman;33;6180;Courcelles;Courcelles;S-LNR-489
eleve;el*386;Joel;Perez;2041-07-07;Rue de la Bassée;70;6043;Charleroi;Ransart;S-ADL-292
Prof;pr293;Robert;Williams;2068-10-23;Faubourg de Bruxelles;91;6041;Charleroi;Gosselies;1-JXA-736
eleve;el*689;Cheryl;Beltran;2035-05-24;Rue de l'Energie;40;6001;Charleroi;Marcinelle;S-RZG-108
eleve;el*2063;Elizabeth;Mendoza;2035-11-03;Rue de Gosselies (JT);54;6040;Charleroi;Jumet;S-WAB-627
eleve;el*8373;Mandy;Stewart;2035-08-13;Rue des Carrières (CT);35;6010;Charleroi;Couillet;S-MGQ-588
eleve;el*6701;Ricardo;Johnson;2040-04-12;Rue de Fleurjoux;384;6224;Fleurus;Wanfercée-Baulet;S-HQI-003
eleve;el*8459;Michael;Collier;2038-03-25;Rue Nananche;35;6150;Anderlues;Anderlues;S-SGM-142
eleve;el*5215;Michelle;Ford;2037-02-15;Rue Elie Braconnier;7 / 000B;6060;Charleroi;Gilly;S-LCO-333
eleve;el*2785;Lisa;Mitchell;2042-06-04;Rue Daubresse;43;6040;Charleroi;Jumet;S-BED-117
eleve;el*7248;John;Snyder;2039-08-20;Avenue de Prague;17;6183;Courcelles;Trazegnies;S-ZUM-394
Prof;pr387;Crystal;Wilson;2051-06-26;Rue du Pont Neuf (JT);13;6040;Charleroi;Jumet;2-NBQ-902
eleve;el*93;Richard;Garcia;2036-11-26;Rue du Transvaal;97;6010;Charleroi;Couillet;S-NTX-707
eleve;el*3891;Terry;Gonzalez;2039-02-26;Rue du Notaire Lemaître;13;6200;Châtelet;Châtelineau;S-EEN-553
eleve;el*166;Julia;Adkins;2037-02-17;Cité Joseph Henry;24;6031;Charleroi;Monceau-sur-Sambre;S-FIY-679
eleve;el*4725;Charles;Torres;2037-09-12;Avenue Circulaire;121;6200;Châtelet;Châtelineau;S-WTT-784
eleve;el*779;Shannon;Gonzalez;2038-12-06;Rue de Souvret;133;6180;Courcelles;Courcelles;S-OQN-203
eleve;el*5845;Timothy;Scott;2036-02-09;Rue Joseph Wauters (RT);53;6043;Charleroi;Ransart;S-LGG-877
eleve;el*846;Anthony;Acosta;2042-06-16;Rue de Dampremy (JT);47;6040;Charleroi;Jumet;S-VKB-842
eleve;el*5608;Danny;Lane;2037-03-26;Rue du Château;1;6032;Charleroi;Mont-sur-Marchienne;S-MUD-295
eleve;el*7909;Tony;Lewis;2043-03-16;Rue de Loverval;526 / 000A;6200;Châtelet;Châtelet;S-BQC-609
eleve;el*5457;Kaitlyn;Ward;2040-10-03;Rue de la Régence (CH);38 / 021;6000;Charleroi;Charleroi;S-FQO-530
eleve;el*6147;Kristina;Nichols;2036-12-15;Rue Saint-Gustave;16;6030;Charleroi;Marchienne-au-Pont;S-KCV-849
Prof;pr323;Natalie;Bowman;2055-02-24;Allée Notre-Dame de Grâce;8;6280;Gerpinnes;Loverval;1-VVX-857
eleve;el*4865;Matthew;Sharp;2038-10-25;Chaussée de Nivelles;263;6041;Charleroi;Gosselies;S-ZPV-174
eleve;el*2248;Caitlin;Baker;2040-12-03;Rue de l'Asie;126;6001;Charleroi;Marcinelle;S-FZI-815
eleve;el*1884;Andrew;Oliver;2042-06-11;Impasse du Spinois;33;6224;Fleurus;Wanfercée-Baulet;S-WFF-826
eleve;el*97;Allen;Cooley;2042-01-20;Rue du 28 Juin 1919;115 / 2/2;6180;Courcelles;Courcelles;S-OQP-814
eleve;el*6453;Victoria;Johnson;2039-09-13;Rue de la Citadelle;42;6010;Charleroi;Couillet;S-LSB-704
eleve;el*8319;Susan;Mccarty;2042-05-09;Sentier de l'Eglise;57;6200;Châtelet;Bouffioulx;S-IUU-876
eleve;el*7518;Douglas;Holland;2035-05-16;Rue de l'Union;82;6040;Charleroi;Jumet;S-AFQ-147
eleve;el*5901;Ryan;Fox;2041-06-06;Rue des Haies;2;6200;Châtelet;Châtelineau;S-NET-863
eleve;el*3308;Andrew;Wheeler;2039-03-29;Rue des Longs Prés;2;6200;Châtelet;Châtelineau;S-RNP-434
eleve;el*4614;Denise;Mcneil;2040-11-26;Chaussée de Lodelinsart;336;6060;Charleroi;Gilly;S-KKB-181
eleve;el*174;Jason;Blanchard;2038-09-12;Rue de la Flanière;75;6043;Charleroi;Ransart;S-IXP-095
eleve;el*3885;Jennifer;Chapman;2036-04-15;Rue du Déversoir;7 / 0015;6200;Châtelet;Châtelet;S-TYD-111
eleve;el*1967;Evan;Kane;2041-02-06;Rue Terre al'Danse;53 / 052;6000;Charleroi;Charleroi;S-HOU-240
eleve;el*8135;Debbie;Mora;2039-07-12;Rue Jules des Essarts;101;6200;Châtelet;Châtelineau;S-KJF-908
eleve;el*558;Rachel;Griffin;2042-03-13;Allée des Châtaigniers;28;6200;Châtelet;Châtelineau;S-CDK-096
eleve;el*6816;Nicholas;Edwards;2038-09-03;Rue de Gaulle;31;6020;Charleroi;Dampremy;S-BPF-206
eleve;el*1728;Andre;Snyder;2037-10-30;Rue de la Poste;33;6010;Charleroi;Couillet;S-PSR-289
eleve;el*867;Christopher;Dixon;2042-07-29;Rue Libioulle;3 / 0031;6001;Charleroi;Marcinelle;S-UFI-506
eleve;el*2083;Jimmy;Ryan;2036-11-24;Boulevard Joseph Tirou;13 / 074;6000;Charleroi;Charleroi;S-EOG-377
eleve;el*5241;Terry;Smith;2041-10-01;Rue de l'Avenir;19;6040;Charleroi;Jumet;S-ZJK-646
eleve;el*3055;Benjamin;Strong;2040-04-27;Place de Crawhez;43;6020;Charleroi;Dampremy;S-FCU-444
eleve;el*1782;Eric;Saunders;2039-02-02;Rue Dewiest François;49;6040;Charleroi;Jumet;S-WIP-010
eleve;el*2044;Courtney;Macias;2038-06-18;Rue de l'Aurore;19;6040;Charleroi;Jumet;S-GPN-394
eleve;el*6281;Christopher;Thompson;2039-02-11;Rue Louis Biernaux;78;6040;Charleroi;Jumet;S-HMG-615
eleve;el*2873;Sharon;Roberts;2039-12-11;Rue de la Tombe (ML);137;6001;Charleroi;Marcinelle;S-PET-100
eleve;el*6656;George;Davis;2036-08-24;Rue des Hayettes;161;6200;Châtelet;Châtelineau;S-CHK-848
eleve;el*6734;Jessica;Murray;2037-11-11;Rue Jules Destrée;51 / 022;6030;Charleroi;Marchienne-au-Pont;S-UWS-075
eleve;el*7049;Edward;Archer;2038-06-20;Rue de Leernes;272;6030;Charleroi;Goutroux;S-MZQ-425
eleve;el*8027;James;Elliott;2036-10-31;Rue du Calvaire;50;6223;Fleurus;Wagnelée;S-MKI-020
eleve;el*4697;Willie;Guzman;2037-11-01;Rue Delvaux Auguste;66;6040;Charleroi;Jumet;S-HMM-713
eleve;el*6818;Peter;Ramos;2037-06-19;Rue du Trieu Gilson;37;6280;Gerpinnes;Joncret;S-GWV-671
eleve;el*5485;Christopher;Adams;2038-01-17;Rue Warmonceau (CH);230;6000;Charleroi;Charleroi;S-ZLY-880
eleve;el*2592;Christopher;Moreno;2040-12-18;Rue Arthur Gailly;39;6224;Fleurus;Wanfercée-Baulet;S-OBT-872
eleve;el*3491;Angela;Holmes;2040-08-03;Rue des Ladres;71;6200;Châtelet;Châtelineau;S-KCK-231
eleve;el*7306;Alexander;Dyer;2042-01-16;Rue du Bosquet;18;6181;Courcelles;Gouy-lez-Piéton;S-OAY-738
eleve;el*4344;Gerald;Miles;2040-11-06;Rue de l'Avenir;47;6182;Courcelles;Souvret;S-NKS-427
eleve;el*3949;Michael;Conway;2036-10-23;Rue de Taillis-Pré;267;6200;Châtelet;Châtelineau;S-TSS-314
eleve;el*1834;Shane;Jones;2041-07-09;Rue de la Briqueterie;9;6280;Gerpinnes;Gougnies;S-EZR-285
eleve;el*973;Steven;Walker;2039-03-27;Rue du Gouffre;96;6200;Châtelet;Châtelineau;S-BPM-501
